term,country,cabinet_party,estimate,p.value,change_from_0_to_10
ap_ideo_directional,Croatia,0,-0.005243168994806258,0.056448753472265405,-0.052431689948062576
ap_ideo_directional,Croatia,1,0.008864064469427113,0.05303111296627974,0.08864064469427113
ap_ideo_directional,Denmark,0,-0.001519642137265409,0.44895707167275106,-0.01519642137265409
ap_ideo_directional,Denmark,1,0.008474957165049979,0.002806886556403502,0.08474957165049979
ap_ideo_directional,Finland,0,5.45197246182294e-4,0.8624016250667287,0.00545197246182294
ap_ideo_directional,Finland,1,-0.0027688851408358417,0.38376551168323336,-0.027688851408358417
ap_ideo_directional,France,0,-0.00870110641881805,1.7990313498509683e-5,-0.0870110641881805
ap_ideo_directional,France,1,0.007952999380278492,0.012691399861062347,0.07952999380278492
ap_ideo_directional,Germany,0,-0.008794687126528755,5.0343999453197635e-5,-0.08794687126528755
ap_ideo_directional,Germany,1,-0.007974309275932123,4.2466176241023386e-4,-0.07974309275932123
ap_ideo_directional,Greece,0,-0.003100114367632356,0.2659747045465105,-0.03100114367632356
ap_ideo_directional,Greece,1,0.005983253116348397,0.132490161179837,0.05983253116348397
ap_ideo_directional,Hungary,0,0.003112886745565424,0.10250853444872192,0.03112886745565424
ap_ideo_directional,Hungary,1,0.009715308775304354,0.0012402033639305904,0.09715308775304354
ap_ideo_directional,Italy,0,-0.006433897802471389,0.004102057460853308,-0.06433897802471389
ap_ideo_directional,Italy,1,0.0055779364431240985,0.0096573140064065,0.055779364431240985
ap_ideo_directional,Lithuania,0,-0.002185971075097104,0.5441673724175635,-0.02185971075097104
ap_ideo_directional,Lithuania,1,0.008328224224196656,0.041664119952408055,0.08328224224196656
ap_ideo_directional,Netherlands,0,-0.004150012517217805,0.13450419797724716,-0.04150012517217805
ap_ideo_directional,Netherlands,1,0.009723914404013989,0.004859931026475221,0.09723914404013989
ap_ideo_directional,Poland,0,-0.015474279710187,1.087288736454863e-8,-0.15474279710187
ap_ideo_directional,Poland,1,0.0064722790107940575,0.0441014064771069,0.06472279010794058
ap_ideo_directional,Romania,0,-0.012786646629903142,0.0032043725081650058,-0.12786646629903142
ap_ideo_directional,Romania,1,-0.006664940524481189,0.09627006250370793,-0.06664940524481189
ap_ideo_directional,Slovakia,0,0.0036000867743857246,0.20085713552649453,0.036000867743857246
ap_ideo_directional,Slovakia,1,0.005897300050794474,0.21724099326277185,0.05897300050794474
ap_ideo_directional,Spain,0,8.012077053753952e-4,0.6092599602193097,0.008012077053753952
ap_ideo_directional,Spain,1,0.0022022619154959955,0.2870055653105798,0.022022619154959955
ap_ideo_directional,Sweden,0,3.692825157053381e-4,0.8086962367283137,0.003692825157053381
ap_ideo_directional,Sweden,1,0.005043888146788467,0.06110634196077434,0.050438881467884666
ap_ideo_directional,United Kingdom,0,-0.010876468378773207,1.667223905351438e-8,-0.10876468378773207
ap_ideo_directional,United Kingdom,1,0.009854628823635636,0.002081240479788883,0.09854628823635636
